name,z,g_bar,g_obs,g_bar_err,g_obs_err
NGC7814,0.0,0.2924150491840161,0.7598526487159856,0.013308984014263165,0.03458394765651261
PGC51017,0.0,0.03676873608529768,0.029895073994526067,0.008920939246924683,0.007253231067524357
UGC00128,0.0,0.013479560505810182,0.09419885755625555,0.0012832541601531294,0.00896773123935553
UGC00191,0.0,0.07004293746274141,0.22828620624268628,0.0017374992238819577,0.005662913643229427
UGC00634,0.0,0.03805891844489073,0.20792527950375375,0.001642729131016679,0.008974635319975976
UGC00731,0.0,0.04284959781111349,0.16220648171304367,0.003966052084276269,0.01501342807736426
UGC00891,0.0,0.031355596052538105,0.17820505456130395,0.0009345197254874102,0.005311209469278079
UGC01230,0.0,0.02254644454305884,0.09408274599237121,0.004377950396710455,0.018268494367450722
UGC01281,0.0,0.04876535313010986,0.2102461566035506,0.006856288665041808,0.029560092316843672
UGC02023,0.0,0.14705196192396447,0.2963923093540721,0.04346535881357997,0.08760711456758118
UGC02259,0.0,0.07108982708626259,0.32245171584121674,0.00473932180575084,0.021496781056081115
UGC02455,0.0,0.4135558248328721,0.2991980110287555,0.049355514832513256,0.03570756590638262
UGC02487,0.0,0.11790807057597603,0.44703810497028296,0.010834795674549149,0.04107917721348547
UGC02885,0.0,0.14731839379487321,0.38850289714735353,0.009887140523145852,0.026074019942775407
UGC02916,0.0,0.17355565286352626,0.2793686257120442,0.019752742812091936,0.03179554524678514
UGC02953,0.0,0.09925687953507183,0.3842615238724238,0.0036783431827703086,0.014240280002330997
UGC03205,0.0,0.11687746472581212,0.39170162306908907,0.0067151416097012044,0.02250503870724221
UGC03546,0.0,0.1788625997713178,0.41294278355075587,0.034475071044005295,0.07959311682947212
UGC03580,0.0,0.04045365451297829,0.18412792388101812,0.0012527583333051342,0.005702026029863787
UGC04278,0.0,0.12837812310187188,0.417132389197756,0.024209236576322825,0.07866181908362856
UGC04305,0.0,0.08591453220246649,0.06392825946067796,0.01619358758482853,0.012049508298345965
UGC04325,0.0,0.16944684112101857,0.48532700626176034,0.01129645607473457,0.03235513375078402
UGC04483,0.0,0.05487271227564635,0.15683732987686325,0.00557796992554091,0.01594296824368114
UGC04499,0.0,0.08473345196462612,0.2186897369142448,0.006089860477672994,0.01571740504874922
UGC05005,0.0,0.02479580240039524,0.11123296899800952,0.005004198264459181,0.022448631482948442
UGC05253,0.0,0.10247661124209757,0.28898236784334774,0.006139195150558689,0.017312429926762025
UGC05414,0.0,0.1358183729045544,0.2972343508790188,0.010794685012609537,0.02362383765943993
UGC05716,0.0,0.025872938574132746,0.1461758346426949,0.001447776214723894,0.008179584856846918
UGC05721,0.0,0.045614760640087994,0.30386343225171203,0.005244263047174897,0.03493473925510249
UGC05750,0.0,0.029376334997752246,0.0882819424492059,0.008191120024721792,0.024616004231717743
UGC05764,0.0,0.045662088276049735,0.2228930869404869,0.005069498377741794,0.024746046125256462
UGC05829,0.0,0.07531917637470187,0.22068573540183808,0.011111225436034735,0.032555971461612265
UGC05918,0.0,0.03866726341150109,0.14387629363333324,0.0068297683239190695,0.025412756583325827
UGC05986,0.0,0.10776399260862708,0.3942593578486504,0.01287125070596499,0.047090042928091144
UGC05999,0.0,0.06645805247516128,0.19978056103176273,0.0066458052475161285,0.019978056103176274
UGC06399,0.0,0.09571576587919141,0.3167689710259194,0.010707928146302234,0.0354376246124887
UGC06446,0.0,0.04951693970497404,0.20343150621517794,0.013352882617071649,0.0548579342602727
UGC06614,0.0,0.061185595927530104,0.20878492052717587,0.009597740537651783,0.03275057576896877
UGC06628,0.0,0.13357693665844406,0.07539776514937631,0.05223079272649326,0.029481773890559906
UGC06667,0.0,0.04847416935327409,0.30317687027091733,0.0038462584784394846,0.024056041048334167
UGC06786,0.0,0.1001843158863438,0.4236935694620107,0.006694781298566102,0.0283131721773192
UGC06787,0.0,0.11340897149858575,0.5665761132381979,0.003700245658306798,0.01848593436134042
UGC06818,0.0,0.0763588309901264,0.25697716092827017,0.012315940482278452,0.04144792918197906
UGC06917,0.0,0.15417613574815803,0.38133209039065413,0.01666769035115222,0.04122509085304369
UGC06923,0.0,0.2286775736383869,0.41304377860505304,0.028760927880536944,0.051948785965123805
UGC06930,0.0,0.08332849640820267,0.22755268105986798,0.011419090248531476,0.031183145182278205
UGC06973,0.0,1.3202182736087775,1.3374557793363082,0.1129520078531954,0.11442677223210637
UGC06983,0.0,0.06626387520335418,0.24553364767812505,0.014954966330298285,0.05541401589799886
UGC07089,0.0,0.09789279376929758,0.22134084908036575,0.018068707825938616,0.04085431601230517
